t,T,liquid_fraction,H
0,300,0,0
1.66881e-09,300,0,0.010837
3.33762e-09,300,0,0.171195
5.00643e-09,300,0,2.21151
6.67524e-09,300,0,24.4576
8.34405e-09,300,0,232.268
1.00129e-08,300.001,0,1895.33
1.16817e-08,300.005,0,13296.6
1.33505e-08,300.033,0,80250.3
1.50193e-08,300.172,0,417015
1.66881e-08,300.769,0,1.86765e+06
1.83569e-08,302.97,0,7.21808e+06
2.00257e-08,309.922,0,2.41116e+07
2.16945e-08,328.707,0,6.9757e+07
2.33633e-08,372.117,0,1.75244e+08
2.50321e-08,457.857,0,3.83593e+08
2.67009e-08,602.408,0,7.34852e+08
2.83698e-08,809.997,0,1.23929e+09
3.00386e-08,933.47,0.293652,1.8541e+09
3.17074e-08,933.47,0.9109,2.51573e+09
3.33762e-08,1102.37,1,3.14934e+09
3.5045e-08,1253.25,1,3.63006e+09
3.67138e-08,1345.43,1,3.92373e+09
3.83826e-08,1387.22,1,4.05689e+09
4.00514e-08,1394.86,1,4.08121e+09
4.17202e-08,1383.84,1,4.0461e+09
4.3389e-08,1364.74,1,3.98527e+09
4.50579e-08,1343.2,1,3.91662e+09
4.67267e-08,1321.57,1,3.84773e+09
4.83955e-08,1300.68,1,3.78115e+09
5.00643e-08,1280.69,1,3.71746e+09
5.17331e-08,1261.6,1,3.65664e+09
5.34019e-08,1243.35,1,3.59852e+09
5.50707e-08,1225.9,1,3.54292e+09
5.67395e-08,1209.19,1,3.48967e+09
5.84083e-08,1193.17,1,3.43863e+09
6.00771e-08,1177.79,1,3.38964e+09
6.17459e-08,1163.02,1,3.34258e+09
6.34148e-08,1148.82,1,3.29733e+09
6.50836e-08,1135.15,1,3.2538e+09
6.67524e-08,1121.99,1,3.21187e+09
6.84212e-08,1109.31,1,3.17146e+09
7.009e-08,1097.08,1,3.13249e+09
7.17588e-08,1085.27,1,3.09488e+09
7.34276e-08,1073.87,1,3.05855e+09
7.50964e-08,1062.85,1,3.02345e+09
7.67652e-08,1052.2,1,2.9895e+09
7.8434e-08,1041.89,1,2.95666e+09
8.01028e-08,1031.91,1,2.92486e+09
8.17717e-08,1022.24,1,2.89407e+09
8.34405e-08,1012.88,1,2.86422e+09
8.51093e-08,1003.79,1,2.83529e+09
8.67781e-08,994.984,1,2.80722e+09
8.84469e-08,986.434,1,2.77998e+09
9.01157e-08,978.132,1,2.75353e+09
9.17845e-08,970.068,1,2.72783e+09
9.34533e-08,962.231,1,2.70287e+09
9.51221e-08,954.613,1,2.67859e+09
9.67909e-08,947.204,1,2.65499e+09
9.84598e-08,939.995,1,2.63202e+09
1.00129e-07,933.47,0.998541,2.60967e+09
1.01797e-07,933.47,0.978164,2.58783e+09
1.03466e-07,933.47,0.957269,2.56543e+09
1.05135e-07,933.47,0.935884,2.54251e+09
1.06804e-07,933.47,0.914038,2.51909e+09
1.08473e-07,933.47,0.89176,2.49521e+09
1.10141e-07,933.47,0.869076,2.47089e+09
1.1181e-07,933.47,0.846013,2.44617e+09
1.13479e-07,933.47,0.822597,2.42107e+09
1.15148e-07,933.47,0.798853,2.39562e+09
1.16817e-07,933.47,0.774807,2.36985e+09
1.18485e-07,933.47,0.750481,2.34377e+09
1.20154e-07,933.47,0.725901,2.31743e+09
1.21823e-07,933.47,0.701088,2.29083e+09
1.23492e-07,933.47,0.676065,2.26401e+09
1.25161e-07,933.47,0.650853,2.23698e+09
1.2683e-07,933.47,0.625472,2.20978e+09
1.28498e-07,933.47,0.599941,2.18241e+09
1.30167e-07,933.47,0.57428,2.1549e+09
1.31836e-07,933.47,0.548507,2.12728e+09
1.33505e-07,933.47,0.522638,2.09955e+09
1.35174e-07,933.47,0.496689,2.07173e+09
1.36842e-07,933.47,0.470677,2.04385e+09
1.38511e-07,933.47,0.444615,2.01591e+09
1.4018e-07,933.47,0.418517,1.98794e+09
1.41849e-07,933.47,0.392396,1.95994e+09
1.43518e-07,933.47,0.366264,1.93193e+09
1.45186e-07,933.47,0.340132,1.90392e+09
1.46855e-07,933.47,0.314011,1.87592e+09
1.48524e-07,933.47,0.28791,1.84794e+09
1.50193e-07,933.47,0.26184,1.82e+09
1.51862e-07,933.47,0.235807,1.79209e+09
1.5353e-07,933.47,0.20982,1.76424e+09
1.55199e-07,933.47,0.183886,1.73644e+09
1.56868e-07,933.47,0.158012,1.70871e+09
1.58537e-07,933.47,0.132203,1.68104e+09
1.60206e-07,933.47,0.106466,1.65345e+09
1.61875e-07,933.47,0.0808049,1.62595e+09
1.63543e-07,933.47,0.0552247,1.59853e+09
1.65212e-07,933.47,0.0297268,1.5712e+09
1.66881e-07,933.47,0.00430929,1.54395e+09
1.6855e-07,924.196,0,1.5168e+09
1.70219e-07,913.753,0,1.49142e+09
1.71887e-07,904.085,0,1.46793e+09
1.73556e-07,895.094,0,1.44608e+09
1.75225e-07,886.696,0,1.42567e+09
1.76894e-07,878.819,0,1.40653e+09
1.78563e-07,871.406,0,1.38852e+09
1.80231e-07,864.404,0,1.3715e+09
1.819e-07,857.771,0,1.35538e+09
1.83569e-07,851.47,0,1.34007e+09
1.85238e-07,845.468,0,1.32549e+09
1.86907e-07,839.739,0,1.31157e+09
1.88575e-07,834.258,0,1.29825e+09
1.90244e-07,829.004,0,1.28548e+09
1.91913e-07,823.958,0,1.27322e+09
1.93582e-07,819.104,0,1.26142e+09
1.95251e-07,814.428,0,1.25006e+09
1.9692e-07,809.917,0,1.2391e+09
1.98588e-07,805.559,0,1.22851e+09
2.00257e-07,801.344,0,1.21827e+09
